review,rating,date,product_name,category,scraped_date
"Barangnya bagus 👍
Sesuai pesanan",bintang 5,4 hari lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:35
"baru kali ini lihat foto produk dan produk realnya bener bener sama, pattern nya bagus, saya suka banget, pokoknya 100% recommend",bintang 5,2 hari lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:35
Mantap..barang gak mengecewakan..xesal cuman pesan 1 next order...,bintang 5,3 hari lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:35
Barang bagus..kren pas bangeeet sesuai pesanan🤗,bintang 5,1 minggu lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:35
Barang uadh  nyampai bagus bahanya tebel,bintang 5,2 minggu lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:35
"Bagus, nyaman, adem dipake",bintang 5,2 minggu lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:35
"Bagus, nyaman, adem dipake",bintang 5,2 minggu lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:35
"Mantap ,,, bahan nya lembut",bintang 5,2 minggu lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:35
Kualitas produk: Baik,bintang 5,1 minggu lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:35
Bagus baju nya bahan adem,bintang 5,3 hari lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:35
Bagus enak d pake,bintang 5,1 minggu lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:39
Bagus tebel,bintang 5,1 minggu lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:39
Kualitas mantap 👍👍,bintang 4,4 hari lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:39
Sesuai dan mantap,bintang 5,2 minggu lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:39
Sempurna,bintang 5,1 minggu lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:39
Sesuai pesanan,bintang 5,1 minggu lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:39
Sesuai mantap,bintang 5,4 hari lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:39
Sangat baik,bintang 5,3 hari lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:39
bagus bgt,bintang 5,2 minggu lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:39
"kerennnn, terimakasih seller",bintang 5,2 hari lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:44
Mantap,bintang 5,2 minggu lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:44
Barang telah diterima,bintang 5,3 hari lalu,"Tamp-X New Short SleeveMen's Lapel Business Casual ShirtPoloShirt polo shirt  Polo tipis - Hitam, XXXL",Pakaian_pria,2025-06-25 15:58:48
